,Name,Entrynumber,Timestamp,Totaltime,Status
0,hXcMUMjoQg,2014GOI4381," 10:56:12 AM, 10:57:10 AM,0.9666666666666667
, 11:00:13 AM, 12:14:51 PM,74.63333333333334
, 12:16:25 PM, 12:30:00 PM,13.583333333333334
",75.6,Present
1,ZcwOpnilJX,4537ITK4802," 10:56:12 AM, 10:59:03 AM,2.85
, 10:59:04 AM, 12:25:18 PM,86.23333333333333
, 10:57:29 AM, 10:59:05 AM,1.6
, 10:59:06 AM, 11:37:00 AM,37.9
,",128.58,Present
2,DeKThdfHPS,3698HFP8237," 10:56:12 AM, 10:57:27 AM,1.25
, 10:57:47 AM, 10:59:05 AM,1.3
, 10:59:06 AM, 11:13:19 AM,14.216666666666667
,",16.77,Absent
3,MHSkvimJDu,1783MCY5605," 10:56:12 AM, 10:56:18 AM,0.1
, 10:56:27 AM, 10:57:22 AM,0.9166666666666666
, 10:58:30 AM, 10:59:04 AM,0.5666666666666667
, 10:59:05 AM, 12:25:02 PM,85.95
,",87.53,Present
4,CENUJlflMr,6174IFB4290," 10:56:12 AM, 10:59:05 AM,2.8833333333333333
, 10:59:06 AM, 12:25:03 PM,85.95
,",88.83,Present
5,JmExbcPRxI,0891IZF5983," 10:56:12 AM, 10:59:06 AM,2.9
, 10:59:06 AM, 12:24:54 PM,85.8
,",88.7,Present
6,UcxWyYwyFa,0813WOQ1692," 10:56:12 AM, 10:56:34 AM,0.36666666666666664
,",0.37,Absent
7,ncrsjxjkng,3663JZG0946," 10:56:12 AM, 12:25:05 PM,88.88333333333334
,",88.88,Present
8,EfDdKvncCb,1384TTH8561," 10:56:12 AM, 11:05:05 AM,8.883333333333333
, 11:03:54 AM, 12:24:36 PM,80.7
,",89.58,Present
9,wQVKKTzDVa,2455EAB5474," 10:56:12 AM, 12:25:10 PM,88.96666666666667
,",88.97,Present
10,ZeozIBexPD,7469TVL2314," 10:56:12 AM, 12:25:15 PM,89.05
,",89.05,Present
11,LvEaopzuHM,4872WDB5314," 10:56:12 AM, 12:25:04 PM,88.86666666666666
, 12:26:13 PM, 12:26:30 PM,0.2833333333333333
,",89.15,Present
12,JOHCMneasp,," 10:56:12 AM, 10:56:32 AM,0.3333333333333333
,",0.33,Absent
13,SpyEOgxNeE,5393MIO0069," 10:56:12 AM, 10:56:16 AM,0.06666666666666667
, 11:01:29 AM, 11:01:37 AM,0.13333333333333333
, 11:03:05 AM, 11:03:11 AM,0.1
, 11:15:20 AM, 12:16:00 PM,60.666666666666664
,",60.97,Present
14,bYxqWpyHSQ,5293WSC6756," 10:56:14 AM, 10:59:06 AM,2.8666666666666667
, 10:59:07 AM, 11:59:05 AM,59.96666666666667
,",62.83,Present
15,awZswsQYuz,5584MJW2995," 10:56:14 AM, 10:56:21 AM,0.11666666666666667
, 10:59:45 AM, 11:00:21 AM,0.6
,",0.72,Absent
16,qAxslqgLKh,," 10:56:16 AM, 10:59:05 AM,2.816666666666667
, 10:59:06 AM, 12:24:58 PM,85.86666666666666
,",88.68,Present
17,xAHfCRCFGl,2874ZKX3494," 10:56:19 AM, 12:25:34 PM,89.25
,",89.25,Present
18,PgUZopDXHt,6172NKS2349," 10:56:32 AM, 10:59:04 AM,2.533333333333333
, 10:59:05 AM, 12:25:13 PM,86.13333333333334
,",88.67,Present
19,oqnGUXeFAs,," 10:56:53 AM, 10:57:01 AM,0.13333333333333333
, 10:57:07 AM, 10:59:05 AM,1.9666666666666666
, 10:58:40 AM, 10:59:05 AM,0.4166666666666667
, 10:59:06 AM, 11:00:25 AM,1.3166666666666667
, 11:01:08 AM, 12:26:59 PM,85.85
,",89.68,Present
20,UgLqknAWhi,4611RBN0922," 10:57:08 AM, 10:59:05 AM,1.95
, 10:59:05 AM, 12:21:52 PM,82.78333333333333
,",84.73,Present
21,JbWfKitNxH,1786KET3376," 10:57:09 AM, 10:59:33 AM,2.4
,",2.4,Absent
22,JsHhCPZvkM,4633JRU1026," 10:57:23 AM, 10:59:05 AM,1.7
, 10:59:06 AM, 12:25:05 PM,85.98333333333333
,",87.68,Present
23,hycmnUTyMi,4581MVL2524," 10:57:37 AM, 10:59:03 AM,1.4333333333333333
, 10:59:04 AM, 12:30:00 PM,90.93333333333334
",1.43,Absent
24,cPeVuoqrCm,4638JGF0382," 10:57:39 AM, 10:59:07 AM,1.4666666666666666
, 10:59:07 AM, 12:24:36 PM,85.48333333333333
,",86.95,Present
25,ApjXFwquoy,," 10:57:43 AM, 10:59:07 AM,1.4
, 10:59:07 AM, 12:24:29 PM,85.36666666666666
,",86.77,Present
26,DyAoYplcCG,," 10:57:43 AM, 10:57:57 AM,0.23333333333333334
, 10:58:14 AM, 10:58:18 AM,0.06666666666666667
, 10:59:29 AM, 12:25:08 PM,85.65
,",85.95,Present
27,QaqYgKNJvW,2108YUX7895," 10:57:44 AM, 10:59:04 AM,1.3333333333333333
, 10:59:06 AM, 11:36:12 AM,37.1
, 11:37:03 AM, 12:26:07 PM,49.06666666666667
,",87.5,Present
28,VRKtrVxKdq,4043IIH9092," 10:57:44 AM, 10:59:04 AM,1.3333333333333333
, 10:59:04 AM, 11:55:52 AM,56.8
, 11:59:19 AM, 12:24:53 PM,25.566666666666666
,",83.7,Present
29,kIjIpbKPrG,4776QAL6684," 10:57:47 AM, 10:58:09 AM,0.36666666666666664
,",0.37,Absent
